TEXT,Label
"Now I know where our sass came from @ Stronghurst, Illinois
",0
"Date night with the hubby and this is the best I can do to get a photo of us together he never…
",0
"#lit to the max @ North Philadelphia
",0
"Throwin it back to this past weekend b/c @user was awesome #tbt @ Gas Monkey Live
",0
"Looking for that d. #psc #philly # @ Philadelphia Sports Clubs
",0
"Football practice at the Hill today @ Centerhill High School
",0
"#perfection is #keys and we got EM @ East Side Crazy
",0
"#hhn27 @ Halloween Horror Nights - Universal Orlando
",0
"I lift, therefore I am @ Mesa Rim Climbing and Fitness
",0
"Snap saw it first #seniorpics @ Portsmouth, Ohio
",0
"Life is better with a beech bowl . #lifeisgood #acaibowl #blendersandbowls @ Austin, Texas
",0
"Odesza was that much better without pants.. surrounded by my family …
",0
"Vampire invasion at Circle K lol #halloween #freaknight2015 #usa @ The United States of America
",0
"Are you wearing a onesie?Me: #are #you #wearing #a #onsie #me #uses #tongue #to #answer…
",0
"No fast food tonight @ Baltimore, Maryland
",0
"What a Bloody Mary bar looks like after the age of thirty @user
",0
"Tryin out the new place in Lewes #brookeandginawerehere #mamalike…
",0
"Finally got to HIT THE QUAD thanks for always vogueing/having mini dance parties w me for the…
",0
"New vidéo on my page steve seraphin @ Armonk, New York
",0
"#Repost @user Day You May at ProFormPTMA .Thanks @user and @user
",0
"We finally got to go to Camp Rock!! @ Demi Lovato &amp; Nick Jonas…
",0
"Ending a cray cray day with a steaming hot and spicy chicken…
",0
"Bad &amp; Bougie....literally ! @ Balenciaga Beverly Hills
",0
"Lunch!!! #hungry @ Wok of Fame, Brampton
",0
"#TBT By far the best concert I've ever been to!! N*SYNC @ Beach at…
",0
"Yesterday me and my bro @user for day one of edc #vegas #edc20…
",0
"Old-fashioned #LANCE #candy bar from Mom childhood #snacktime #traveling home from Biloxi, MS…
",0
"Marathon number 11....maybe... #bemonumental #indianapolis @ Indiana…
",0
"It's about to go down @user @user maxribner jchittams gypsiecaveman @user
",0
"#Me and aprilmae8 #bestie flow... #drinks #chillnight @user
",0
"Béla wouldn't potty on the cold snow so we had to create a special area for her #southernbelle…
",0
"Me and my yoga instructor being goofy y'all. @ Congress Street
",0
"Play Time #zillybeatz #MaxKZillz #New #music #instrumental #hiphop #rnbmusic #chillwave #bass…
",0
"BOOTY BUMP with @user @ First Tennessee Park
",0
"Oakland! Come thru and show me if you can vogue. I'm pretty curious see you at The Port Bar…
",0
"I could live off of fresh blackberries, donuts, and bacon #noshame @ Boyd Orchards
",0
"@user of course
",0
"#butterflypeakordofan in the #voss bottle @ ID Cha House
",0
"Rare pic of my 10 books congregating on a Sunday. Some are longer than others. Some of dirtier…
",0
"Cleaning out my gallery... #bunlife @ Candlewood Suites La Crosse
",0
"These guys! With Andy, thewhittlewagon, who downsized from a 24' #tinyhouse to a 16' micro,…
",0
"Life's a blessing (and this is picture is basic) @ OC Beach!
",0
"We're just going to play this up ! Come see me at @user booth this weekend at…
",0
"dopest friend I got @ City Limits Texas
",0
"Tilt-a-whirl wha??! @ Kiwanis Fairgrounds
",0
"A little video. Turn done the sound...my voice is a little high. @ Camden Hills State Park
",0
"Mi vato y yo @user @ Hollywood Bowl
",0
"Where do we sign up? It's for educational purposes...
",0
"Congratulations Sidnie &amp; Brandon! I'm so glad you guys found each other... again Sid, I'm glad…
",0
"If your team loses today, you can just watch this #sundayfunday #footballseason…
",0
"In these Oakland street. And look what I find it's about that time again. @ Oakland Marriott…
",0
"with my Law squad @ Beverly Wilshire Beverly Hills (A Four Seasons Hotel)
",0
"Sushi Festival! Celebrating I might have a job in NYC @ SUSHISAMBA
",0
"** IMPORTANT** TOMORROW MORNING your favorite ninjawarrior star (yes, me ) will be crushing…
",0
"Yes, I am wearing a #christmastree hat, you are welcome . I am posting to tell a wonderful…
",0
"I’s a #pro . Check my #swing . #golf @ Topgolf
",0
"Hey @user do these make me look fat? @ Fort Wayne…
",0
"IF THAT MATHAFUCCA SAY GO STRAIGHT #WEGOINGSTRAIGH #endofdiscusion #imeanlikethatthough …
",0
"#sleepydragons #funtimes #futureworldserieschamps @ Pins…
",0
"Another cruise with my thangs #shiplife #TeamMagic @ Carnival Magic, Port Canaveral
",0
"This is relevant to my life right now #truth #Starbucks #CoffeeAddict #MorningMusings...
",0
"On our way back from Orlando @ Downtown Orlando
",0
"Morning ritual... I sometimes love it, but today, I hate it! #goforthandlive @ Raley's Family…
",0
"I take a lot of care in my profession. My lineup game is crazy . Book me anytime see for…
",0
"Need ... Wireless ... #drebeats with the ear hook for #Xmas #hinthint @ 24 Hour Fitness…
",0
"#Halloween Gig 2! E-Ticket will be going crazy tonight. I'll be there too I guess Sandy from…
",0
"Changed my setup . . . again! I've never done 1 up two down. But studying @user got me…
",0
"Today is a day for prepping... &amp; maybe making sausage meatballs ...#kitchen #mushrooms…
",0
"LET's GO…… awe who cares! #angel fan @ Fenway Park
",0
"@user pictures or it didn't happen.
",0
"Remember that #SideChicks @ Houston, Texas
",0
"Just hanging out (at @user Sports Grill in Charlotte, NC)
",0
"""And we'll just put a happy little rainbow right here."" -Bob Ross. #stpete #dtsp #ilovetheburg…
",0
"#selfiesunday Tryna enjoy my #restday but miss my workouts I Can Not Lie Enjoying this lil…
",0
"The tide worked harder than me today. I didn't want any labor on my Labor Day. @ Balboa…
",0
"How The Baddies About To Be This Saturday For The ""50 Shades Lingerie•Lace•Leather"" Party…
",0
"Messed up my scenery shot @ Universal Studios Florida
",0
"repping gvegas &amp; bringing home the bling bling #saucesisters #prego @ WRAL Soccer Complex
",0
"It takes one cup of coffee to install sound deadening on the floor of a 159"" promaster @ The…
",0
"For the sake of free Justice League posters, I did this. Sorry, Batsy and Steve, Diana is…
",0
"Well good morning with ur standing ass @ Dunkin Donuts
",0
"TOUR LIFE AMIRIGHT @ Lolo's Surf Cantina
",0
"They better not be out of chicken #EatMorChikin (@ Chick-fil-A in Spring, TX)
",0
"Last picture of the Hearst Castle! This is one of the two pools on the property...#gold #pools…
",0
"When you can, you do ...#menchies #seattle #whatyoudowhenits85inseattle #cheatday #froyo…
",0
"Good partnership marketing US style. You definitely need one after the other @ Downtown…
",0
